date[2005-03-08] buy[149700] price[5.35] cash[13.4202] value[800908.4202]
date[2005-03-09] sell[149700] price[5.28] cash[789401.8794] benerfit[-11746.8093]
date[2005-03-16] buy[146400] price[5.39] cash[69.1506] value[789165.1506]
date[2005-03-17] sell[146400] price[5.39] cash[788139.3258] benerfit[-1262.5536]
date[2005-03-22] buy[144800] price[5.44] cash[191.0122] value[787903.0122]
date[2005-03-23] sell[144800] price[5.43] cash[785432.8690] benerfit[-2706.4568]
date[2005-03-24] buy[138700] price[5.66] cash[155.3564] value[785197.3564]
date[2005-03-25] sell[138700] price[5.57] cash[771710.0297] benerfit[-13722.8393]
date[2005-03-28] buy[134100] price[5.75] cash[403.7072] value[771478.7072]
date[2005-03-29] sell[134100] price[5.68] cash[761101.5128] benerfit[-10608.5169]
date[2005-03-31] buy[133200] price[5.71] cash[301.3412] value[760873.3412]
date[2005-04-04] sell[133200] price[5.76] cash[766535.9396] benerfit[5434.4268]
date[2005-04-06] buy[129000] price[5.94] cash[46.0616] value[766306.0616]
date[2005-04-07] sell[129000] price[5.95] cash[766598.2466] benerfit[62.3070]
date[2005-04-15] buy[129800] price[5.90] cash[548.5006] value[766368.5006]
date[2005-04-20] sell[129800] price[6.23] cash[808151.2504] benerfit[41553.0038]
date[2005-04-21] buy[128800] price[6.27] cash[332.9776] value[807908.9776]
date[2005-04-22] sell[128800] price[5.64] cash[725820.6160] benerfit[-82330.6344]
date[2005-05-10] buy[208500] price[3.48] cash[22.9420] value[725602.9420]
date[2005-05-11] sell[208500] price[3.53] cash[735071.1355] benerfit[9250.5195]
date[2005-05-12] buy[211700] price[3.47] cash[251.7558] value[734850.7558]
date[2005-05-16] sell[211700] price[3.67] cash[776180.7351] benerfit[41109.5996]
date[2005-05-17] buy[214300] price[3.62] cash[182.0053] value[775948.0053]
date[2005-05-18] sell[214300] price[3.59] cash[768518.8672] benerfit[-7661.8679]
date[2005-05-19] buy[217000] price[3.54] cash[108.4132] value[768288.4132]
date[2005-05-20] sell[217000] price[3.47] cash[752119.5262] benerfit[-16399.3410]
date[2005-05-24] buy[221700] price[3.39] cash[331.0573] value[751894.0573]
date[2005-05-27] sell[221700] price[3.48] cash[770844.0865] benerfit[18724.5603]
date[2005-05-30] buy[217000] price[3.55] cash[262.9815] value[770612.9815]
date[2005-05-31] sell[217000] price[3.42] cash[741438.1995] benerfit[-29405.8870]
date[2005-06-02] buy[218000] price[3.40] cash[15.8395] value[741215.8395]
date[2005-06-07] sell[218000] price[3.58] cash[779441.2675] benerfit[38003.0680]
date[2005-06-08] buy[201300] price[3.87] cash[176.5582] value[779207.5582]
date[2005-06-09] sell[201300] price[3.83] cash[770153.2855] benerfit[-9287.9820]
date[2005-06-17] buy[214400] price[3.59] cash[226.3767] value[769922.3767]
date[2005-06-20] sell[214400] price[3.61] cash[773204.1975] benerfit[3050.9120]
date[2005-06-21] buy[208300] price[3.71] cash[179.3596] value[772972.3596]
date[2005-06-22] sell[208300] price[3.73] cash[776128.3129] benerfit[2924.1154]
date[2005-06-24] buy[211900] price[3.66] cash[341.6467] value[775895.6467]
date[2005-06-27] sell[211900] price[3.70] cash[783352.4077] benerfit[7224.0948]
date[2005-07-07] buy[248600] price[3.15] cash[27.4807] value[783117.4807]
date[2005-07-08] sell[248600] price[2.95] cash[732444.0997] benerfit[-50908.3080]
date[2005-07-11] buy[245700] price[2.98] cash[38.4439] value[732224.4439]
date[2005-07-13] sell[245700] price[2.97] cash[728818.7962] benerfit[-3625.3035]
date[2005-07-14] buy[222800] price[3.27] cash[44.2294] value[728600.2294]
date[2005-07-15] sell[222800] price[3.17] cash[705402.0706] benerfit[-23416.7256]
date[2005-07-20] buy[225300] price[3.13] cash[1.5139] value[705190.5139]
date[2005-07-21] sell[225300] price[3.09] cash[695273.4838] benerfit[-10128.5868]
date[2005-07-22] buy[221300] price[3.14] cash[183.0192] value[695065.0192]
date[2005-07-25] sell[221300] price[3.13] cash[691951.5495] benerfit[-3321.9343]
date[2005-07-26] buy[215400] price[3.21] cash[310.1193] value[691744.1193]
date[2005-07-28] sell[215400] price[3.30] cash[710206.0533] benerfit[18254.5038]
date[2005-08-01] buy[215800] price[3.29] cash[11.0587] value[709993.0587]
date[2005-08-03] sell[215800] price[3.44] cash[741398.0011] benerfit[31191.9478]
date[2005-08-09] buy[209900] price[3.53] cash[228.7170] value[741175.7170]
